DATE,REGIST,ENABLE,DISABLE
2018/11/01,2190,1136,1054
2018/11/29,2009,1121,888
2018/11/30,2009,1121,888
2018/12/01,2009,1122,887
2018/12/02,2009,1122,887
2018/12/03,2009,1122,887
2018/12/04,1724,1122,602
2018/12/05,1724,1122,602
2018/12/06,1724,1122,602
2018/12/07,1684,1122,562
2018/12/08,1685,1123,562
2018/12/09,1685,1123,562
2018/12/10,1685,1123,562
2018/12/11,1600,1123,477
2018/12/12,1600,1123,477
2018/12/13,1548,1123,425
2018/12/14,1548,1123,425
2018/12/15,1548,1123,425
2018/12/16,1548,1123,425
2018/12/17,1548,1123,425
2018/12/18,1552,1153,399
2018/12/19,1552,1153,399
2018/12/20,1552,1153,399
2018/12/21,1552,1153,399
2018/12/22,1552,1153,399
2018/12/23,1552,1153,399
2018/12/24,1552,1153,399
2018/12/25,1552,1153,399
2018/12/26,1552,1153,399
2018/12/27,1552,1153,399
2018/12/28,1552,1153,399
2018/12/29,1552,1153,399
2018/12/30,1552,1153,399
2018/12/31,1552,1153,399
2019/01/01,1552,1153,399
2019/01/02,1552,1153,399
2019/01/03,1552,1153,399
2019/01/04,1552,1153,399
2019/01/05,1552,1153,399
2019/01/06,1602,1183,419
2019/01/07,1602,1183,419
2019/01/08,1603,1184,419
2019/01/09,1603,1184,419
2019/01/10,1603,1184,419
2019/01/11,1603,1184,419
2019/01/12,1603,1184,419
2019/01/13,1603,1184,419
2019/01/14,1603,1184,419
2019/01/15,1603,1184,419
2019/01/16,1603,1184,419
2019/01/17,1603,1184,419
2019/01/18,1603,1184,419
2019/01/19,1603,1184,419
2019/01/20,1603,1184,419
2019/01/21,1603,1184,419
2019/01/22,1603,1184,419
2019/01/23,1603,1184,419
2019/01/24,1603,1184,419
2019/01/25,1603,1184,419
2019/01/26,1643,1224,419
2019/01/27,1643,1224,419
2019/01/28,1643,1224,419
2019/01/29,1643,1224,419
2019/01/30,1643,1224,419
2019/01/31,1643,1224,419
2019/02/01,1643,1224,419
2019/02/02,1643,1224,419
2019/02/03,1643,1224,419
2019/02/04,1643,1224,419
2019/02/05,1643,1224,419
2019/02/06,1683,1264,419
2019/02/07,1683,1264,419
2019/02/08,1683,1264,419
2019/02/09,1692,1273,419
2019/02/10,1692,1273,419
2019/02/11,1692,1273,419
2019/02/12,1692,1273,419
2019/02/13,1692,1273,419
2019/02/14,1692,1273,419
2019/02/15,1692,1273,419
2019/02/16,1692,1273,419
2019/02/17,1692,1220,472
2019/02/18,1692,1220,472
2019/02/19,1692,1220,472
2019/02/20,1698,1226,472
2019/02/21,1698,1226,472
2019/02/22,1698,1226,472
2019/02/23,1698,1226,472
2019/02/24,1698,1226,472
2019/02/25,1698,1226,472
2019/02/26,1728,1256,472
2019/02/27,1728,1256,472
2019/02/28,1786,1314,472
2019/03/01,1786,1314,472
2019/03/02,1787,1315,472
2019/03/03,1787,1315,472
2019/03/04,1787,1315,472
2019/03/05,1787,1315,472
2019/03/06,1837,1365,472
2019/03/07,1837,1365,472
2019/03/08,1837,1365,472
2019/03/09,1837,1365,472
2019/03/10,1837,1365,472
2019/03/11,1837,1365,472
2019/03/12,1837,1365,472
2019/03/13,1837,1365,472
2019/03/14,1837,1365,472
2019/03/15,1938,1412,526
2019/03/16,1938,1412,526
2019/03/17,1938,1412,526
2019/03/18,1938,1412,526
2019/03/19,1938,1412,526
2019/03/20,1938,1412,526
2019/03/21,1938,1412,526
2019/03/22,1938,1412,526
2019/03/23,1938,1412,526
2019/03/24,1938,1412,526
2019/03/25,1938,1412,526
2019/03/26,1940,1408,532
2019/03/27,1940,1408,532
2019/03/28,1940,1408,532
2019/03/29,2010,1427,583
2019/03/30,2010,1427,583
2019/03/31,2010,1427,583
2019/04/01,2010,1427,583
2019/04/02,2015,1432,583
2019/04/03,2015,1432,583
2019/04/04,2015,1432,583
2019/04/05,2015,1432,583
2019/04/06,2020,1437,583
2019/04/07,2020,1437,583
2019/04/08,2020,1437,583
2019/04/09,2020,1437,583
2019/04/10,2139,1556,583
2019/04/11,2139,1556,583
2019/04/12,2139,1556,583
2019/04/13,2139,1556,583
2019/04/14,2139,1556,583
2019/04/15,2139,1556,583
2019/04/16,2139,1556,583
2019/04/17,2139,1557,582
2019/04/18,2139,1557,582
2019/04/19,2139,1557,582
2019/04/20,2139,1558,581
2019/04/21,2139,1558,581
2019/04/22,2139,1558,581
2019/04/23,2139,1558,581
2019/04/24,2139,1558,581
2019/04/25,2139,1558,581
2019/04/26,2139,1558,581
2019/04/27,2139,1558,581
2019/04/28,2139,1558,581
2019/04/29,2139,1558,581
2019/04/30,2139,1558,581
2019/05/01,2139,1558,581
2019/05/02,2139,1558,581
2019/05/03,2139,1558,581
2019/05/04,2139,1558,581
2019/05/05,2139,1558,581
2019/05/06,2139,1558,581
2019/05/07,2139,1558,581
2019/05/08,2259,1678,581
2019/05/09,2259,1678,581
2019/05/10,2259,1678,581
2019/05/11,2259,1678,581
2019/05/12,2379,1649,730
2019/05/13,2379,1649,730
2019/05/14,2379,1649,730
2019/05/15,2379,1649,730
2019/05/16,2379,1649,730
2019/05/17,2379,1649,730
2019/05/18,2379,1649,730
2019/05/19,2429,1699,730
2019/05/20,2429,1699,730
2019/05/21,2429,1699,730
2019/05/22,2429,1699,730
2019/05/23,2429,1699,730
2019/05/24,2529,1799,730
2019/05/25,2530,1799,731
2019/05/26,2530,1799,731
2019/05/27,2530,1799,731
2019/05/28,2530,1799,731
2019/06/04,2,2,0
2019/06/05,2,2,0
2019/06/06,2,2,0
2019/06/14,8,8,0
2019/06/15,9,9,0
2019/06/16,9,9,0
2019/06/17,9,9,0
2019/07/22,33,33,0
2019/07/23,33,33,0
2019/07/24,36,36,0
2019/07/25,24,24,0
2019/07/26,24,24,0
2019/07/27,24,24,0
2019/07/28,24,24,0
2019/07/29,24,24,0
2019/07/30,24,24,0
2019/07/31,29,29,0
2019/08/01,29,29,0
2019/08/02,29,29,0
2019/08/03,29,29,0
2019/08/04,29,29,0
2019/08/05,29,29,0
2019/08/06,29,29,0
2019/08/07,29,29,0
2019/08/08,29,29,0
2019/08/09,29,29,0
2019/08/10,29,29,0
2019/08/11,29,29,0
2019/08/12,29,29,0
2019/08/13,29,29,0
2019/08/14,29,29,0
2019/08/15,29,29,0
2019/08/16,29,29,0
2019/08/17,29,29,0
2019/08/18,29,29,0
2019/08/19,29,29,0
2019/08/20,29,29,0
2019/08/21,30,30,0
2019/08/22,30,30,0
2019/08/23,30,30,0
2019/08/24,30,30,0
2019/08/25,30,30,0
2019/08/26,30,30,0
2019/08/27,30,30,0
2019/08/28,30,30,0
2019/08/29,30,30,0
2019/08/30,30,30,0
2019/08/31,30,30,0
2019/09/01,30,30,0
2019/09/02,5,5,0
2019/09/03,5,5,0
2019/09/04,5,5,0
2019/09/05,5,5,0
