32ビット拡張版（31bit 0x40000000 まで可）

カテゴリー,value値,親カテゴリー,項目名
1,2-0x100000,,特別ゼミ,
2,2-0x200000,2-0x100000,特別ゼミ1,
2,3-0x1,2-0x100000,特別ゼミ2,
2,3-0x2,2-0x100000,特別ゼミ3,
2,3-0x4,2-0x100000,特別ゼミ4,
2,3-0x8,2-0x100000,特別ゼミ5,
2,3-0x20,2-0x100000,特別ゼミ6,
2,3-0x10,2-0x100000,特別ゼミ7,
2,3-0x200,2-0x100000,最終テスト,
1,1-0x1,,工学部,
2,1-0x2,1-0x1,機械科,
3,1-0x10,1-0x2,基礎・概論1,
4,1-0x10000,1-0x10,○○○○○1コース,
4,1-0x40000,1-0x10,○○○○○2コース,
4,1-0x8000,1-0x10,○○○○○3コース,
4,1-0x20000,1-0x10,○○○○○4コース,
4,1-0x80000,1-0x10,○○○○○5コース,
4,2-0x4000,1-0x10,○○○○○6コース,
4,3-0x80,1-0x10,最終テスト,
3,1-0x20,1-0x2,専門1,
4,1-0x400000,1-0x20,●●●●●1コース,
4,1-0x100000,1-0x20,●●●●●2コース,
4,1-0x200000,1-0x20,●●●●●3コース,
4,1-0x800000,1-0x20,●●●●●4コース,
4,2-0x20000,1-0x20,●●●●●5コース,
4,3-0x100,1-0x20,最終テスト,
2,1-0x4,1-0x1,電気・電子科,
3,1-0x40,1-0x4,基礎・概論2,
4,1-0x4000000,1-0x40,△△△△△1コース,
4,1-0x1000000,1-0x40,△△△△△2コース,
4,1-0x2000000,1-0x40,△△△△△3コース,
4,1-0x8000000,1-0x40,△△△△△4コース,
3,1-0x80,1-0x4,専門2,
4,1-0x20000000,1-0x80,▲▲▲▲▲1コース,
4,2-0x1,1-0x80,▲▲▲▲▲2コース,
4,1-0x40000000,1-0x80,▲▲▲▲▲3コース,
4,1-0x10000000,1-0x80,▲▲▲▲▲4コース,
4,2-0x2,1-0x80,▲▲▲▲▲5コース,
4,2-0x10000,1-0x80,▲▲▲▲▲6コース,
4,2-0x8000,1-0x80,▲▲▲▲▲7コース,
2,1-0x8,1-0x1,情報科,
3,1-0x100,1-0x8,基礎・概論3,
4,2-0x10,1-0x100,□□□□□1コース,
4,2-0x8,1-0x100,□□□□□2コース,
4,2-0x4,1-0x100,□□□□□3コース,
4,2-0x20,1-0x100,□□□□□4コース,
3,1-0x200,1-0x8,専門3,
4,2-0x400,1-0x200,■■■■■1コース,
4,2-0x1000,1-0x200,■■■■■2コース,
4,2-0x200,1-0x200,■■■■■3コース,
4,2-0x800,1-0x200,■■■■■4コース,
4,2-0x40,1-0x200,■■■■■5コース,
4,2-0x100,1-0x200,■■■■■6コース,
4,2-0x80,1-0x200,■■■■■7コース,
4,2-0x2000,1-0x200,■■■■■8コース,
3,1-0x800,1-0x8,◎◎◎◎◎1コース,
3,1-0x1000,1-0x8,◎◎◎◎◎2コース,
3,1-0x2000,1-0x8,◎◎◎◎◎3コース,
3,1-0x4000,1-0x8,◎◎◎◎◎4コース,
3,1-0x400,1-0x8,◎◎◎◎◎5コース,
1,2-0x40000,,必修科目,
2,2-0x80000,2-0x40000,必修科目1,
2,2-0x400000,2-0x40000,必修科目2,
2,2-0x800000,2-0x40000,必修科目3,
2,2-0x1000000,2-0x40000,必修科目4,
2,2-0x2000000,2-0x40000,必修科目5,
2,2-0x4000000,2-0x40000,必修科目6,
2,2-0x8000000,2-0x40000,必修科目7,
2,2-0x10000000,2-0x40000,必修科目8,
2,2-0x20000000,2-0x40000,必修科目9,
2,2-0x40000000,2-0x40000,必修科目10,
